studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,10thmark,12thmark,cutoff,Annualincome,community,extracurricularinfo,gender,age,numberofprojects,numberofresearchpapers,levelofresearchpapers,competitions,gatescore,grescore,gmatscore,catscore,toeflscore,ieltsscore,leetcodecount,codechefstars,languagesknown,onlinecourses,internship,preferredcountry,preferreddegree,preferredcourse
Susan Thompson,S152083,Data Science,C,1st,2027,9/29/1994,"720 Morrison Walk
Amandahaven, GA 07808","721 Morrison Walk
Amandahaven, GA 07808","722 Morrison Walk
Amandahaven, GA 07808","723 Morrison Walk
Amandahaven, GA 07808","724 Morrison Walk
Amandahaven, GA 07808","725 Morrison Walk
Amandahaven, GA 07808","726 Morrison Walk
Amandahaven, GA 07808","727 Morrison Walk
Amandahaven, GA 07808",SC,None,Other,25,0,0,Local,Coding Contest,13,271,521,60,76,9,51,4,German,Udacity,Yes,Canada,MBA,Data Science
Jason Wright,S607480,Data Science,A,2nd,2026,10/1/2002,"78867 Koch Wall Apt. 005
New Lynn, WY 18403",+1-390-993-7302x408,devinhernandez@example.net,9.23,83,51,90,54799,General,Sports,Female,22,1,1,International,Coding Contest,3,262,474,26,8,7,46,0,English,None,No,UK,M.Tech,Machine Learning
Jeremy Anderson,S164105,Data Science,C,1st,2025,10/16/2005,"PSC 3533, Box 1915
APO AP 48821",435.733.5903x12259,tracy70@example.com,3.21,63,66,84,69420,ST,Music,Female,25,1,2,International,Quiz,74,283,340,9,44,9,72,5,French,Udacity,Yes,Germany,M.Tech,AI
William Williams,S801486,Computer Science,B,1st,2027,6/29/1994,"Unit 7991 Box 2203
DPO AE 08352",001-673-208-9459x0459,penningtonjorge@example.org,4.56,63,87,97,67944,OBC,Music,Male,27,7,1,National,None,84,262,755,74,22,7,87,4,German,None,Yes,USA,M.Tech,AI
Jacqueline Boyd,S536543,Data Science,C,4th,2025,2/11/2004,"9600 Dougherty Vista
Latoyaberg, GA 52552",872-477-6862,jenkinsdeborah@example.com,2.26,77,50,93,78364,ST,Arts,Other,26,5,1,International,Coding Contest,55,338,696,5,16,5,7,5,French,Coursera,Yes,UK,M.Sc,AI
Dennis Wu,S660519,Data Science,C,3rd,2028,11/20/2003,"807 Jessica Throughway
Nicholasville, MT 24057",(399)654-1455,frankrangel@example.net,2.01,71,86,71,85956,ST,Sports,Other,19,5,2,National,Coding Contest,82,272,715,96,97,8,11,5,English,edX,No,Germany,MBA,AI
Matthew Martinez,S319533,Electronics,C,4th,2025,1/2/2001,"USCGC Marshall
FPO AP 58850",001-336-813-6515x15968,nancy57@example.net,9.7,85,73,80,35520,ST,Sports,Female,25,2,1,Local,Hackathon,0,320,291,88,1,1,35,4,Chinese,Udacity,No,USA,PhD,Software Engineering
Frank Hunter,S439336,Computer Science,B,4th,2025,12/8/2000,"USCGC Weaver
FPO AP 98717",379.526.1698,ronnie53@example.org,8.95,71,84,93,50592,ST,Music,Male,19,5,0,International,Coding Contest,86,312,782,84,22,1,1,3,English,Coursera,Yes,Germany,M.Tech,Data Science
Margaret Williams,S360358,Data Science,A,1st,2025,7/16/2005,"6193 Taylor Gateway
New Elizabeth, MI 19126",(508)964-5949x566,derekjackson@example.com,3.5,90,55,96,103082,SC,None,Female,29,5,0,International,Quiz,76,266,684,32,0,7,72,5,Chinese,Udacity,No,Germany,M.Sc,Data Science
Jamie Sullivan,S349095,Computer Science,B,2nd,2028,9/3/2002,"1324 Ramos Loop
East Elizabeth, OR 47573",853-887-4573x5173,aliciaharris@example.net,8.61,73,62,95,68550,OBC,Arts,Female,23,9,5,International,Hackathon,66,307,479,7,10,7,53,1,Chinese,Coursera,No,Australia,M.Sc,Software Engineering
Douglas Aguirre,S601041,Data Science,A,3rd,2028,10/6/1993,"1707 Alicia Hollow Suite 967
Smithville, NY 79016",+1-438-801-6742x59046,alexadavis@example.net,3.33,64,85,73,115004,General,Music,Other,24,10,3,National,Hackathon,71,267,542,48,103,1,88,5,Spanish,Udacity,No,USA,PhD,Data Science
John Duncan,S529018,Data Science,B,3rd,2028,2/21/2003,"00658 Crosby Ports Apt. 685
East Markside, MA 04576",001-878-668-7753x66976,sarahmurray@example.net,0.89,95,64,71,30134,General,Arts,Other,29,6,5,International,None,18,304,643,75,83,4,31,5,German,Coursera,No,Germany,MBA,AI
Brian Guerra,S282983,Mechanical,B,1st,2025,4/24/2002,"1165 Lisa Spring
Glendastad, WA 97266",(509)495-9379x307,collierroy@example.org,6.29,59,86,98,110141,ST,Sports,Female,19,5,0,National,Quiz,78,295,627,2,53,9,60,3,French,Coursera,No,UK,M.Sc,Data Science
Joshua Evans,S786627,Electronics,B,1st,2026,5/4/2006,"USS Harris
FPO AA 78380",(235)706-3656,ypadilla@example.org,6.06,66,55,82,51477,ST,Arts,Female,28,0,1,National,Hackathon,74,308,349,10,15,4,85,4,German,Udacity,No,USA,M.Sc,Machine Learning
Amanda Robertson,S602278,Mechanical,A,1st,2025,11/1/1998,"78248 Howard Wall
West Glenland, WA 11029",432-318-5279,msmith@example.com,6.79,56,53,90,68329,General,None,Female,29,1,0,National,Hackathon,31,280,233,43,39,1,45,1,Spanish,None,Yes,USA,PhD,AI
Kevin Brennan,S551851,Electronics,C,1st,2025,6/21/2006,"2114 John Parkway
Christinamouth, VT 42718",497.622.6879x28973,qgrant@example.com,4,91,74,50,77175,SC,Arts,Female,25,3,2,Local,None,34,284,453,56,35,7,53,5,Spanish,edX,Yes,USA,MBA,AI
Tyler Maldonado,S838686,Mechanical,B,2nd,2028,4/17/2006,"9402 Hamilton Pines Suite 403
Grimeshaven, FL 23721",8165070767,abigail85@example.com,3.66,70,82,83,84771,ST,Arts,Female,23,1,3,National,None,18,273,720,57,55,9,20,3,Spanish,edX,Yes,Germany,PhD,AI
Scott Johnson,S695897,Computer Science,A,1st,2026,9/9/2001,"053 Patrick Row Apt. 976
Caitlinview, IN 16944",001-211-909-6236x127,eric02@example.net,2.8,76,73,94,54128,OBC,Sports,Male,25,7,5,Local,Coding Contest,7,335,270,58,72,0,44,3,French,None,No,UK,M.Sc,Machine Learning
Dennis Martin,S650562,Mechanical,C,3rd,2028,7/28/2006,"5560 Williams Highway
Katelynmouth, MA 07402",705.935.7486,iholmes@example.org,5.37,81,80,50,34978,SC,Arts,Male,22,9,3,Local,Coding Contest,2,327,772,16,59,4,20,4,French,Coursera,Yes,Australia,M.Sc,AI
John Johnson,S287390,Mechanical,C,4th,2027,2/13/1997,"563 Stewart Drives Suite 800
Ramirezmouth, NH 64119",232-304-2081x845,shannonrobbins@example.net,5.91,86,98,70,56782,SC,Sports,Female,28,0,2,National,None,25,288,600,90,90,0,15,2,German,Coursera,No,Australia,PhD,Software Engineering
Jonathan Price,S128166,Computer Science,C,3rd,2026,5/7/1998,"USCGC Solis
FPO AP 49287",(532)537-5997x30467,ashleysherman@example.net,4.6,65,84,59,46105,ST,Music,Female,27,7,1,International,Coding Contest,73,282,731,10,16,5,38,3,German,Udacity,No,Australia,M.Tech,AI
Russell Nichols,S448404,Data Science,A,4th,2025,8/18/2004,"45486 Smith Walks Suite 005
Kyleshire, PA 38509",507-785-5522,zchase@example.com,3.98,52,86,57,55201,SC,Music,Other,23,6,2,National,None,82,279,201,29,114,5,81,0,Spanish,Udacity,Yes,UK,PhD,AI
Alyssa Schneider,S716488,Mechanical,C,4th,2025,1/21/1994,"USNV Jones
FPO AE 37832",404.290.8684x121,heather65@example.net,6.96,53,87,95,82826,ST,Sports,Female,22,4,2,National,Coding Contest,63,261,396,55,52,3,15,1,English,Coursera,No,Australia,MBA,Software Engineering
Carla Rasmussen,S190949,Computer Science,B,1st,2026,7/9/2005,"031 Danielle Crest Suite 206
West Katiefort, TN 11059",573.335.3580x982,williamwiggins@example.net,5.91,65,97,81,90524,ST,Arts,Male,19,10,4,International,Coding Contest,0,280,315,57,36,6,55,0,French,Coursera,No,UK,M.Tech,Data Science
Ryan Wilson,S605828,Data Science,A,4th,2026,6/26/2003,"03632 Simpson Branch Suite 460
West Kurtport, PW 92247",826-462-8551,jamesadams@example.org,3.8,67,60,89,54871,SC,Music,Female,29,0,3,International,Coding Contest,23,295,669,90,53,6,35,3,French,None,No,USA,MBA,AI
Ryan Moses,S599951,Data Science,B,1st,2026,9/16/2002,"274 Sara Estates
South Angelaville, KS 04273",+1-913-770-2763x7323,tarabryan@example.com,9.64,94,96,65,117165,OBC,Sports,Other,19,10,5,International,Quiz,60,308,215,65,67,3,49,0,French,edX,Yes,Australia,M.Tech,Data Science
Leonard Brown,S168322,Mechanical,C,3rd,2025,10/14/2001,"589 Jackson Port Apt. 440
South Jamesbury, AS 38939",(562)493-5358x54813,pjohnson@example.org,4.08,66,84,68,86636,SC,Arts,Other,21,10,0,International,None,14,309,675,99,32,5,55,5,Chinese,None,No,USA,MBA,Machine Learning
Mario Maddox,S785029,Computer Science,A,2nd,2028,11/13/1996,"3037 Diane Forges
North Andrea, VI 85108",+1-889-230-7284x1952,tammycole@example.org,0.15,60,52,96,67212,General,Sports,Other,28,1,1,International,None,42,336,586,83,30,5,63,4,German,Udacity,No,UK,MBA,Machine Learning
Sandra James,S586151,Electronics,C,3rd,2025,10/7/2001,"6246 Howard Club Suite 281
East Gregory, WY 86200",5253120574,brandon49@example.org,2.83,79,72,98,48550,ST,Arts,Female,25,9,1,International,Quiz,40,334,546,58,5,7,99,1,French,Coursera,No,UK,M.Sc,Machine Learning
